IDX__global,IDX__step,IDX__sub_step,TARG__EM_price,FUTU__EM_load_f,FUTU__EM_solar_f,FUTU__EM_wind_f,CONST__wd_sin,CONST__wd_cos,CONST__mnth_sin,CONST__mnth_cos,CONST__yd_sin,CONST__yd_cos,Hour,Date
57,2,9,66.96,6392.0,4.0,206.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,9,2015-01-05
58,2,10,67.52,6948.0,55.0,184.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,10,2015-01-05
59,2,11,65.97,7201.0,178.0,145.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,11,2015-01-05
60,2,12,63.68,7359.0,259.0,122.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,12,2015-01-05
61,2,13,62.71,7155.0,290.0,136.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,13,2015-01-05
62,2,14,60.01,7015.0,271.0,165.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,14,2015-01-05
63,2,15,59.8,7134.0,202.0,180.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,15,2015-01-05
64,2,16,59.98,7101.0,84.0,191.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,16,2015-01-05
65,2,17,63.46,7080.0,7.0,221.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,17,2015-01-05
66,2,18,67.52,7462.0,0.0,277.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,18,2015-01-05
67,2,19,69.0,7919.0,0.0,324.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,19,2015-01-05
68,2,20,67.52,8011.0,0.0,347.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,20,2015-01-05
69,2,21,65.11,7791.0,0.0,361.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,21,2015-01-05
70,2,22,63.07,7406.0,0.0,363.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,22,2015-01-05
71,2,23,59.8,7022.0,0.0,349.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,23,2015-01-05
72,3,0,57.98,5804.0,0.0,240.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,0,2015-01-06
73,3,1,50.45,5497.0,0.0,239.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,1,2015-01-06
74,3,2,46.0,5030.0,0.0,220.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,2,2015-01-06
75,3,3,43.84,4745.0,0.0,205.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,3,2015-01-06
76,3,4,40.13,4615.0,0.0,203.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,4,2015-01-06
77,3,5,40.0,4579.0,0.0,206.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,5,2015-01-06
78,3,6,43.32,4666.0,0.0,208.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,6,2015-01-06
79,3,7,50.0,5028.0,0.0,203.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,7,2015-01-06
80,3,8,49.53,5731.0,0.0,187.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,8,2015-01-06
81,3,9,54.0,6530.0,41.0,167.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,9,2015-01-06
82,3,10,59.28,7089.0,152.0,138.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,10,2015-01-06
83,3,11,59.69,7312.0,236.0,94.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,11,2015-01-06
84,3,12,56.86,7437.0,288.0,66.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,12,2015-01-06
85,3,13,54.2,7265.0,308.0,62.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,13,2015-01-06
86,3,14,52.69,7120.0,297.0,72.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,14,2015-01-06
87,3,15,53.2,7212.0,254.0,87.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,15,2015-01-06
88,3,16,52.79,7183.0,179.0,103.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,16,2015-01-06
89,3,17,57.0,7259.0,73.0,125.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,17,2015-01-06
90,3,18,60.69,7611.0,0.0,169.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,18,2015-01-06
91,3,19,62.99,8073.0,0.0,224.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,19,2015-01-06
92,3,20,63.7,8217.0,0.0,263.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,20,2015-01-06
93,3,21,62.69,8131.0,0.0,265.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,21,2015-01-06
94,3,22,60.1,7860.0,0.0,252.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,22,2015-01-06
95,3,23,59.86,7533.0,0.0,231.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,23,2015-01-06
96,4,0,52.85,6440.0,0.0,310.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,0,2015-01-07
97,4,1,49.67,5497.0,0.0,320.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,1,2015-01-07
98,4,2,48.95,5030.0,0.0,335.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,2,2015-01-07
99,4,3,50.0,4791.0,0.0,354.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,3,2015-01-07
100,4,4,47.73,4738.0,0.0,360.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,4,2015-01-07
101,4,5,51.12,4671.0,0.0,356.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,5,2015-01-07
102,4,6,60.1,4743.0,0.0,357.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,6,2015-01-07
103,4,7,66.49,5096.0,0.0,359.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,7,2015-01-07
104,4,8,68.81,5846.0,0.0,357.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,8,2015-01-07
105,4,9,79.99,6616.0,32.0,341.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,9,2015-01-07
106,4,10,85.05,7159.0,127.0,285.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,10,2015-01-07
107,4,11,79.99,7360.0,201.0,206.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,11,2015-01-07
108,4,12,68.81,7437.0,248.0,148.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,12,2015-01-07
109,4,13,67.24,7265.0,270.0,104.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,13,2015-01-07
110,4,14,64.89,7120.0,260.0,71.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,14,2015-01-07
111,4,15,64.13,7212.0,223.0,58.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,15,2015-01-07
112,4,16,65.1,7183.0,159.0,64.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,16,2015-01-07
113,4,17,67.24,7259.0,67.0,95.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,17,2015-01-07
114,4,18,70.4,7611.0,3.0,160.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,18,2015-01-07
115,4,19,75.0,8073.0,0.0,236.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,19,2015-01-07
116,4,20,70.55,8217.0,0.0,291.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,20,2015-01-07
117,4,21,66.69,8131.0,0.0,326.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,21,2015-01-07
118,4,22,63.19,7860.0,0.0,338.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,22,2015-01-07
119,4,23,61.53,7533.0,0.0,324.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,23,2015-01-07
120,5,0,61.5,6122.0,0.0,260.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,0,2015-01-08
121,5,1,60.1,6051.0,0.0,250.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,1,2015-01-08
122,5,2,58.69,5406.0,0.0,231.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,2,2015-01-08
123,5,3,58.1,5139.0,0.0,212.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,3,2015-01-08
124,5,4,54.56,4998.0,0.0,194.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,4,2015-01-08
125,5,5,57.59,4895.0,0.0,177.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,5,2015-01-08
126,5,6,60.89,4956.0,0.0,170.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,6,2015-01-08
127,5,7,67.5,5287.0,0.0,165.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,7,2015-01-08
128,5,8,69.1,5891.0,0.0,163.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,8,2015-01-08
129,5,9,74.69,6714.0,14.0,164.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,9,2015-01-08
130,5,10,75.96,7338.0,94.0,152.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,10,2015-01-08
131,5,11,73.6,7538.0,165.0,116.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,11,2015-01-08
132,5,12,69.96,7543.0,210.0,91.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,12,2015-01-08
133,5,13,68.0,7303.0,231.0,75.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,13,2015-01-08
134,5,14,65.1,7085.0,227.0,62.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,14,2015-01-08
135,5,15,64.89,7148.0,197.0,59.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,15,2015-01-08
136,5,16,66.49,7106.0,143.0,64.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,16,2015-01-08
137,5,17,67.73,7173.0,64.0,97.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,17,2015-01-08
138,5,18,71.46,7599.0,3.0,182.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,18,2015-01-08
139,5,19,74.69,8176.0,0.0,292.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,19,2015-01-08
140,5,20,71.0,8410.0,0.0,379.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,20,2015-01-08
141,5,21,66.49,8378.0,0.0,462.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,21,2015-01-08
142,5,22,63.31,8115.0,0.0,547.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,22,2015-01-08
143,5,23,61.69,7736.0,0.0,622.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,23,2015-01-08
144,6,0,56.73,6486.0,0.0,934.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,0,2015-01-09
145,6,1,50.25,6124.0,0.0,1005.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,1,2015-01-09
146,6,2,48.89,5498.0,0.0,1029.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,2,2015-01-09
147,6,3,49.14,5210.0,0.0,1042.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,3,2015-01-09
148,6,4,49.14,5087.0,0.0,1061.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,4,2015-01-09
149,6,5,50.6,4970.0,0.0,1103.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,5,2015-01-09
150,6,6,59.82,4957.0,0.0,1125.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,6,2015-01-09
151,6,7,67.69,5268.0,0.0,1091.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,7,2015-01-09
152,6,8,69.19,5891.0,0.0,1027.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,8,2015-01-09
153,6,9,73.02,6714.0,18.0,941.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,9,2015-01-09
154,6,10,75.69,7338.0,73.0,774.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,10,2015-01-09
155,6,11,73.0,7538.0,117.0,540.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,11,2015-01-09
156,6,12,70.2,7576.0,145.0,395.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,12,2015-01-09
157,6,13,69.0,7369.0,157.0,311.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,13,2015-01-09
158,6,14,65.0,7181.0,155.0,245.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,14,2015-01-09
159,6,15,64.99,7337.0,135.0,206.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,15,2015-01-09
160,6,16,67.52,7396.0,97.0,208.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,16,2015-01-09
161,6,17,69.0,7356.0,45.0,289.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,17,2015-01-09
162,6,18,70.15,7656.0,2.0,465.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,18,2015-01-09
163,6,19,71.0,8242.0,0.0,661.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,19,2015-01-09
164,6,20,69.0,8453.0,0.0,818.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,20,2015-01-09
165,6,21,65.01,8391.0,0.0,952.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,21,2015-01-09
166,6,22,63.05,8111.0,0.0,1085.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,22,2015-01-09
167,6,23,59.33,7786.0,0.0,1192.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,23,2015-01-09
168,7,0,48.6,5947.0,0.0,899.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,0,2015-01-10
169,7,1,47.6,5692.0,0.0,922.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,1,2015-01-10
170,7,2,43.05,5223.0,0.0,914.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,2,2015-01-10
171,7,3,43.0,4878.0,0.0,879.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,3,2015-01-10
172,7,4,43.83,4677.0,0.0,808.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,4,2015-01-10
173,7,5,45.0,4568.0,0.0,714.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,5,2015-01-10
174,7,6,47.43,4546.0,0.0,614.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,6,2015-01-10
175,7,7,54.12,4612.0,0.0,518.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,7,2015-01-10
176,7,8,60.69,4712.0,0.0,438.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,8,2015-01-10
177,7,9,64.82,4888.0,30.0,368.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,9,2015-01-10
178,7,10,67.69,5342.0,123.0,277.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,10,2015-01-10
179,7,11,66.2,5821.0,198.0,168.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,11,2015-01-10
180,7,12,65.01,6195.0,250.0,101.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,12,2015-01-10
181,7,13,64.82,6362.0,275.0,70.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,13,2015-01-10
182,7,14,62.43,6259.0,270.0,62.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,14,2015-01-10
183,7,15,58.58,6149.0,237.0,62.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,15,2015-01-10
184,7,16,58.34,6114.0,174.0,66.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,16,2015-01-10
185,7,17,61.69,6185.0,81.0,70.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,17,2015-01-10
186,7,18,63.89,6684.0,3.0,93.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,18,2015-01-10
187,7,19,65.69,7194.0,0.0,121.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,19,2015-01-10
188,7,20,65.69,7284.0,0.0,148.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,20,2015-01-10
189,7,21,63.71,7188.0,0.0,175.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,21,2015-01-10
190,7,22,59.33,6883.0,0.0,202.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,22,2015-01-10
191,7,23,57.3,6607.0,0.0,225.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,23,2015-01-10
192,8,0,44.39,5934.0,0.0,289.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,0,2015-01-11
193,8,1,41.3,5398.0,0.0,324.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,1,2015-01-11
194,8,2,39.41,4929.0,0.0,390.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,2,2015-01-11
195,8,3,39.41,4584.0,0.0,508.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,3,2015-01-11
196,8,4,38.4,4383.0,0.0,639.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,4,2015-01-11
197,8,5,37.0,4274.0,0.0,723.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,5,2015-01-11
198,8,6,37.0,4252.0,0.0,764.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,6,2015-01-11
199,8,7,37.59,4318.0,0.0,799.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,7,2015-01-11
200,8,8,38.5,4418.0,0.0,834.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,8,2015-01-11
201,8,9,41.5,4594.0,5.0,843.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,9,2015-01-11
202,8,10,43.0,5037.0,92.0,748.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,10,2015-01-11
203,8,11,43.39,5492.0,196.0,565.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,11,2015-01-11
204,8,12,40.8,5866.0,266.0,459.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,12,2015-01-11
205,8,13,42.88,6033.0,302.0,419.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,13,2015-01-11
206,8,14,42.0,5930.0,297.0,399.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,14,2015-01-11
207,8,15,39.2,5820.0,250.0,405.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,15,2015-01-11
208,8,16,39.54,5785.0,163.0,440.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,16,2015-01-11
209,8,17,43.39,5856.0,41.0,507.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,17,2015-01-11
210,8,18,62.32,6355.0,0.0,611.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,18,2015-01-11
211,8,19,66.2,6865.0,0.0,704.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,19,2015-01-11
212,8,20,68.03,6955.0,0.0,760.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,20,2015-01-11
213,8,21,67.92,6859.0,0.0,797.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,21,2015-01-11
214,8,22,64.82,6554.0,0.0,816.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,22,2015-01-11
215,8,23,59.82,6278.0,0.0,811.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,23,2015-01-11
216,9,0,48.96,6133.0,0.0,1059.0,0.0,1.0,0.5,0.866025,0.205104,0.97874,0,2015-01-12
217,9,1,45.34,5536.0,0.0,1011.0,0.0,1.0,0.5,0.866025,0.205104,0.97874,1,2015-01-12
218,9,2,41.3,5073.0,0.0,964.0,0.0,1.0,0.5,0.866025,0.205104,0.97874,2,2015-01-12
219,9,3,41.0,4784.0,0.0,939.0,0.0,1.0,0.5,0.866025,0.205104,0.97874,3,2015-01-12
220,9,4,41.01,4646.0,0.0,932.0,0.0,1.0,0.5,0.866025,0.205104,0.97874,4,2015-01-12
